county,original,decoded,status,final
Muskegon,//duckduckgo.com/l/?uddg=https%3A%2F%2Fmaps.muskegoncountygis.com%2Fportal%2Fapps%2Fwebappviewer%2Findex.html%3Fid%3D4741564b03aa46de80769afacae95f2c&rut=c7bd8fddad69000ea36ab3e297f8f4d22d6b503a69d0bc2fc09f3bd4b6069924,https://maps.muskegoncountygis.com/portal/apps/webappviewer/index.html?id=4741564b03aa46de80769afacae95f2c,200,https://maps.muskegoncountygis.com/portal/apps/webappviewer/index.html?id=4741564b03aa46de80769afacae95f2c
Newaygo,//duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.newaygocountymi.gov%2Fgis%2Fgis%2F&rut=65cb07841ebadf76e52a3fb51b5839d19cb22d04774f7f4aef03c4db2812d1f6,https://www.newaygocountymi.gov/gis/gis/,200,https://www.newaygocountymi.gov/gis/gis/
Oakland,//duckduckgo.com/l/?uddg=https%3A%2F%2Fgis.oakgov.com%2Fpropertygateway%2Fhome.mvc&rut=0fef16bb9c6973870e9bdc2ba21d4e94cd7ba6245ef568cd4cf0c2f7362d6a52,https://gis.oakgov.com/propertygateway/home.mvc,200,https://gis.oakgov.com/propertygateway/home.mvc
Oceana,//duckduckgo.com/l/?uddg=https%3A%2F%2Foceana.mi.us%2Fgovernment%2Fonline%2Dservices%2Dalt%2Fonline%2Dtools%2Ddata%2Fgis%2Dinteractive%2Dmap%2F&rut=fa2f71ec244266db2c837875bfeb73159a8e7e8164cae07948aa5f0d9d59ffe6,https://oceana.mi.us/government/online-services-alt/online-tools-data/gis-interactive-map/,200,https://oceana.mi.us/government/online-services-alt/online-tools-data/gis-interactive-map/
Ogemaw,//duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.ocmi.us%2Fgis%2F&rut=29c73f11bc56131a1f1fb7bd8bffd8246d68ffdaf31ce129107216b52ebce6f3,https://www.ocmi.us/gis/,200,https://www.ocmi.us/gis/
Ontonagon,//duckduckgo.com/l/?uddg=https%3A%2F%2Fontonagoncounty.org%2Fhome%2Fresources%2F&rut=883f236070fe7886d4d97613de72e8bc5475ed9762bf652c1f3e8168f82a971b,https://ontonagoncounty.org/home/resources/,200,https://ontonagoncounty.org/home/resources/
Osceola,//duckduckgo.com/l/?uddg=https%3A%2F%2Fexperience.arcgis.com%2Fexperience%2Fb12c7ea7c1584962a572b9b740476ffc&rut=f53a15f99c8b81fe5db584051fd4540ad21c34fa6dd9d6ee3b8cda12cd9cdb97,https://experience.arcgis.com/experience/b12c7ea7c1584962a572b9b740476ffc,200,https://experience.arcgis.com/experience/b12c7ea7c1584962a572b9b740476ffc
Oscoda,//duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.oscodacountymi.com%2Fequalization%2Fgis%2Dmapping%2F&rut=6f7a499cc62929f9af7bcb47c2fcffd691498d7d9ad0636f9f1dc8fd7128c0e2,https://www.oscodacountymi.com/equalization/gis-mapping/,200,https://www.oscodacountymi.com/equalization/gis-mapping/
Otsego,//duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.otsegocountymi.gov%2F179%2FProperty%2DSearch&rut=43b0a7dcfb22a3cc30e620f850b81b16506485b5fedb7af034f75367f9eb6974,https://www.otsegocountymi.gov/179/Property-Search,200,https://www.otsegocountymi.gov/179/Property-Search
Ottawa,//duckduckgo.com/l/?uddg=https%3A%2F%2Fgis.miottawa.org%2Fottawa%2Fgeocortex%2Fpropertymapping%2F&rut=8599fd0486a42e637468986964fc0725a651af234d5667d2e959bccd43e5ce63,https://gis.miottawa.org/ottawa/geocortex/propertymapping/,200,https://gis.miottawa.org/ottawa/geocortex/propertymapping/
Presque Isle,//duckduckgo.com/l/?uddg=https%3A%2F%2Fbeacon.schneidercorp.com%2F%3Fsite%3DPresqueIsleCountyMI&rut=1ebe356178c05fbe1b140596853a95e0d1303a340cf77ec4abde899084ba9045,https://beacon.schneidercorp.com/?site=PresqueIsleCountyMI,403,https://beacon.schneidercorp.com/?site=PresqueIsleCountyMI
Roscommon,//duckduckgo.com/l/?uddg=https%3A%2F%2Froscommoncounty.maps.arcgis.com%2Fapps%2Fwebappviewer%2Findex.html%3Fid%3Dd0b928a07dfc4566bf4ed802dd73a43b&rut=e405b716591601043bf47a39cd18bb56c1c0034fe59f632ac8637278c5e084a8,https://roscommoncounty.maps.arcgis.com/apps/webappviewer/index.html?id=d0b928a07dfc4566bf4ed802dd73a43b,200,https://roscommoncounty.maps.arcgis.com/apps/webappviewer/index.html?id=d0b928a07dfc4566bf4ed802dd73a43b
Saginaw,//duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.sagagis.org%2F&rut=d719c7e51cfc335b6dd57204f0addcfd8e6999607bc96c8ffce6985e3b4174ec,https://www.sagagis.org/,200,https://www.sagagis.org/
St. Clair,//duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.stclaircounty.org%2FOffices%2F15&rut=7a7df744c005c90f28c66887b4f66ea8d525b00796b0633667939dd32b02b75b,https://www.stclaircounty.org/Offices/15,200,https://www.stclaircounty.org/Offices/15
St. Joseph,//duckduckgo.com/l/?uddg=https%3A%2F%2Fstjosephcountymi.gov%2Fgovernment%2Fgeographic%2Dinformation%2Dsystems%2Dgis%2F&rut=579a157afd0883acbc7d0f080aad46af3daacb914b5143c09b1409158a1a6824,https://stjosephcountymi.gov/government/geographic-information-systems-gis/,200,https://stjosephcountymi.gov/government/geographic-information-systems-gis/
Sanilac,//duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.sanilaccounty.gov%2Fcommunity%2Fservices%2Fgis_mapping%2Findex.php&rut=2f4f68c8a9ed445a36d2d8c1519e69092192aabbf0eba76137f9eb79ed138018,https://www.sanilaccounty.gov/community/services/gis_mapping/index.php,200,https://www.sanilaccounty.gov/community/services/gis_mapping/index.php
Schoolcraft,//duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.schoolcraftcounty.net%2Fdepartments%2Fequalization&rut=994f83bf9b37633917e4206a0af9c003842ebcdc48dea34a8fa53bfa7ce78f6c,https://www.schoolcraftcounty.net/departments/equalization,200,https://www.schoolcraftcounty.net/departments/equalization
Shiawassee,//duckduckgo.com/l/?uddg=https%3A%2F%2Fshiawassee.net%2FGIS%2F&rut=f97178ebd82f450b635bc5d8b930ca998efe97fab2ae6450230b853b051ab168,https://shiawassee.net/GIS/,200,https://shiawassee.net/GIS/
Tuscola,//duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.tuscolacounty.org%2Fgis%2F&rut=2b9b3c5b26928304ac1360c4892b2ae1b350f1d9931b629906d74b4b87ce1d9f,https://www.tuscolacounty.org/gis/,200,https://www.tuscolacounty.org/gis/
Van Buren,//duckduckgo.com/l/?uddg=https%3A%2F%2Fgis.vanburencountymi.gov%2Fvan%2Dburen%2Dcounty%2Dmi%2Fmaps%2F139519%2Fparcel%2Dviewer%2Dbeta%2D&rut=90d7743408323a56cffc022178be07cbff9e04509c94444ffd14ab208e7c8cd7,https://gis.vanburencountymi.gov/van-buren-county-mi/maps/139519/parcel-viewer-beta-,200,https://gis.vanburencountymi.gov/van-buren-county-mi/maps/139519/parcel-viewer-beta-
